title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
金子歯科診療所,さいたま市中央区上落合7ｰ6ｰ2ｶｰｴｽ･ﾌﾞﾙｸ301,35.898499,139.62471,middle,#00FF00,#FFFFFF,2
ニチイケアセンター与野,さいたま市中央区上落合5-4-7瀬山ﾋﾞﾙ1階2階,35.894325,139.627655,middle,#00FF00,#FFFFFF,2
みきケアサービス,さいたま市中央区上落合1-9 与野ﾊｳｽ1号棟1105,35.890213,139.629761,middle,#00FF00,#FFFFFF,2
東京海上日動みずたま介護ST大宮ケアプランセンター,さいたま市中央区上落合5-18-14 都ﾏﾝｼｮﾝ1階,35.89896,139.626328,middle,#00FF00,#FFFFFF,2
セコムさいたま訪問看護ステーション,さいたま市中央区下落合3-8-9 ｾｺﾑ与野ﾋﾞﾙ4階,35.885658,139.631546,middle,#00FF00,#FFFFFF,2
有限会社　大和・ハッピー・ケア・サービス,さいたま市中央区下落合4丁目23-17 埼京ﾋﾞﾙ2階,35.887451,139.629852,middle,#00FF00,#FFFFFF,2
ｏｎｅ’ｓかいご,さいたま市中央区下落合2-3-4 ﾘｾﾊｲﾂ101号室,35.881794,139.635208,middle,#00FF00,#FFFFFF,2
介護やトーワ居宅介護支援事業所,さいたま市中央区下落合4-17-18 ﾄﾞﾐｰﾙ吉田102,35.887146,139.62677,middle,#00FF00,#FFFFFF,2
ケアプランのぞみ,さいたま市中央区下落合7丁目8番22号 ﾒｿﾞﾝ･ｱｰﾍﾞｲﾝ103号,35.881207,139.628204,middle,#00FF00,#FFFFFF,2
居宅介護支援事業所　こころ,さいたま市中央区下落合3丁目7番1号 飯塚ﾋﾞﾙ 102,35.884567,139.631927,middle,#00FF00,#FFFFFF,2
ナーシングヴィラ与野　指定居宅介護支援事業所,さいたま市中央区本町東6-10-1,35.893158,139.618057,middle,#00FF00,#FFFFFF,2
居宅介護支援事業所あさがお与野公園,さいたま市中央区本町東5-6-5,35.888176,139.621155,middle,#00FF00,#FFFFFF,2
与野 ケアセンターそよ風,さいたま市中央区桜丘1-11-11,35.879341,139.616058,middle,#00FF00,#FFFFFF,2
ひだまり介護支援センター,さいたま市中央区桜丘1-13-1,35.880226,139.616608,middle,#00FF00,#FFFFFF,2
指定居宅介護支援事業所 きりしき,さいたま市中央区新中里2-8-6,35.872154,139.633896,middle,#00FF00,#FFFFFF,2
与野訪問看護ステーション居宅,さいたま市中央区新中里3-3-8,35.875557,139.63591,middle,#00FF00,#FFFFFF,2
東電さわやかケアさくら・居宅介護支援,さいたま市中央区新中里1-5-37 ｻﾝﾊｯﾋﾟｰ101号,35.872063,139.637283,middle,#00FF00,#FFFFFF,2
アースサポート北浦和,さいたま市中央区新中里1-3-3,35.870922,139.637131,middle,#00FF00,#FFFFFF,2
ケアサポート　SAILING　LIFE,さいたま市中央区新中里5丁目20番9号 ｴｰﾃﾞﾙﾊｲﾂ102,35.88065,139.634842,middle,#00FF00,#FFFFFF,2
ポポケアセンター,さいたま市中央区大戸6-21-20,35.868027,139.63327,middle,#00FF00,#FFFFFF,2
居宅介護支援事業所　緑水苑与野,さいたま市中央区大戸1-33-12,35.861721,139.636734,middle,#00FF00,#FFFFFF,2
アートリティ居宅支援,さいたま市中央区大戸4丁目15番13号5号室,35.86758,139.641861,middle,#00FF00,#FFFFFF,2
居宅介護支援事業所　きりしきおおと,さいたま市中央区大戸5-3-24,35.866226,139.636978,middle,#00FF00,#FFFFFF,2
ヒューマンライフケア南与野の湯,さいたま市中央区鈴谷2-549-24,35.86702,139.630219,middle,#00FF00,#FFFFFF,2
トラストケア居宅介護支援事業所,さいたま市中央区鈴谷4丁目10番5号,35.872883,139.623093,middle,#00FF00,#FFFFFF,2
ゆめみらい　与野本町,さいたま市中央区鈴谷7丁目10番25号 ｱｽﾃﾘｽｸｴｱF号,35.875305,139.626663,middle,#00FF00,#FFFFFF,2
（有）フレンズ指定居宅介護支援事業所,さいたま市中央区上峰2-2-1 2階,35.874603,139.617691,middle,#00FF00,#FFFFFF,2
やさしい手与野本町居宅介護支援事業所,さいたま市中央区上峰4丁目1番9号 高瀬ﾋﾞﾙ202,35.875515,139.619553,middle,#00FF00,#FFFFFF,2
アトリオ訪問看護ステーション,さいたま市中央区上峰四丁目8番18号,35.877571,139.621094,middle,#00FF00,#FFFFFF,2
