title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
田中ファミリークリニック,さいたま市岩槻区鹿室987-1,35.990376,139.701187,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　ひなの槻,さいたま市岩槻区裏慈恩寺40-3,35.978855,139.700943,middle,#00FFFF,#FFFFFF,2
きらきら介護,さいたま市岩槻区東岩槻2-2-9 PUREﾋﾞﾙ301,35.964756,139.709183,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　メープル東岩槻,さいたま市岩槻区東岩槻1丁目5番地1,35.964081,139.710709,middle,#00FFFF,#FFFFFF,2
ローズケア,さいたま市岩槻区東岩槻1丁目4番地17 筑紫ﾊｲﾑB棟102号室,35.963661,139.710175,middle,#00FFFF,#FFFFFF,2
ゆうゆう介護相談室,さいたま市岩槻区上里1-4-61-108,35.963608,139.706436,middle,#00FFFF,#FFFFFF,2
介護相談室　岩槻名栗園,さいたま市岩槻区諏訪3-2-2,35.967648,139.706924,middle,#00FFFF,#FFFFFF,2
東岩槻ケアセンターそよ風,さいたま市岩槻区表慈恩寺625-1,35.972164,139.706543,middle,#00FFFF,#FFFFFF,2
エスポワール岩槻　居宅介護支援事業所,さいたま市岩槻区表慈恩寺541-1,35.968651,139.711594,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　さいたまほほえみの里,さいたま市岩槻区大字長宮1512-1,35.95013,139.728302,middle,#00FFFF,#FFFFFF,2
居宅介護支援センターさいたま,さいたま市岩槻区増長100-9,35.944004,139.738678,middle,#00FFFF,#FFFFFF,2
ケアプランあいはな岩槻,さいたま市岩槻区大字大谷457番地1,35.939503,139.740387,middle,#00FFFF,#FFFFFF,2
ケアプランひなた,さいたま市岩槻区釣上新田336-1,35.889568,139.743713,middle,#00FFFF,#FFFFFF,2
指定居宅介護支援事業所うらら岩槻,さいたま市岩槻区飯塚1205-1,35.937218,139.72084,middle,#00FFFF,#FFFFFF,2
槻寿苑居宅介護支援事業所,さいたま市岩槻区笹久保1393,35.917686,139.713928,middle,#00FFFF,#FFFFFF,2
岩槻まきば園居宅介護支援センター,さいたま市岩槻区横根1375,35.922466,139.700836,middle,#00FFFF,#FFFFFF,2
さいどの森,さいたま市岩槻区横根503-1,35.926407,139.699341,middle,#00FFFF,#FFFFFF,2
アリス・ケアプラン,さいたま市岩槻区城南1-6-53-9,35.940144,139.701736,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　しらさぎ,さいたま市岩槻区真福寺1465番地,35.933884,139.712219,middle,#00FFFF,#FFFFFF,2
株式会社　さいたま福祉サービス　本社事業所,さいたま市岩槻区南平野3-1-4,35.956726,139.715363,middle,#00FFFF,#FFFFFF,2
