title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
まごころ浦和元町,さいたま市浦和区元町3-32-23,35.874083,139.655129,large,#00FF00,#FFFFFF,2
ケアプランセンター　今羽の森,さいたま市北区今羽町650-1,35.95084,139.625671,medium,#000088,#FFFFFF,2
あすなろケアサービス大宮,さいたま市北区本郷町450-3 ｴｸｾﾚﾝﾄUM102,35.940544,139.62326,medium,#000088,#FFFFFF,2
パーソナルケア　さいたま,さいたま市北区本郷町112 白石ﾋﾞﾙ2階,35.938351,139.626236,medium,#000088,#FFFFFF,2
居宅介護支援事業所 たんとん,さいたま市北区土呂町2-12-18 中橋ﾋﾞﾙ202号,35.932587,139.632996,medium,#000088,#FFFFFF,2
土呂まちかど介護,さいたま市北区土呂町1丁目11番地5,35.931225,139.630402,medium,#000088,#FFFFFF,2
ツクイさいたま大宮公園,さいたま市北区盆栽町161-1,35.925198,139.631149,medium,#000088,#FFFFFF,2
居宅介護支援事業所　リセイル盆栽町,さいたま市北区盆栽町168 ﾚﾌｨｰﾆ大宮盆栽町203号室,35.924358,139.628998,medium,#000088,#FFFFFF,2
指定居宅介護支援事業所　白樺ホーム,さいたま市北区吉野町2-1331,35.964485,139.617844,medium,#000088,#FFFFFF,2
あけぼし居宅介護支援事業所,さいたま市北区吉野町1-3-1 茂木ﾋﾞﾙ2F,35.947018,139.621506,medium,#000088,#FFFFFF,2
学研ココファンしらかば,さいたま市北区吉野町2-210-1,35.957924,139.606674,medium,#000088,#FFFFFF,2
いい・らいふ吉野町,さいたま市北区吉野町2-281-5,35.963951,139.612747,medium,#000088,#FFFFFF,2
コスモ訪問看護リハビリステーション　さいたま北,さいたま市北区宮原町2-129-25,35.944763,139.619019,medium,#000088,#FFFFFF,2
あかねケアサービス,さいたま市北区宮原町2-78-26 ﾊｲﾂﾍﾟｰｼﾞ1,35.940804,139.616531,medium,#000088,#FFFFFF,2
独立行政法人地域医療機能推進機構さいたま北部医療センター附属居宅介護支援センター,さいたま市北区宮原町1-851,35.932766,139.619705,medium,#000088,#FFFFFF,2
ケアプランひだまり,さいたま市北区宮原町3丁目432番地2 岸ﾋﾞﾙ1F,35.942966,139.608246,medium,#000088,#FFFFFF,2
ラウンド＆ケア居宅介護支援事業所宮原,さいたま市北区宮原町1丁目669番地1 第2東家ﾋﾞﾙ1階,35.938812,139.620621,medium,#000088,#FFFFFF,2
ケアプランセンターなごみの栞,さいたま市北区宮原町4丁目23番地7 ｺｰﾎﾟ中里101号室,35.946228,139.611389,medium,#000088,#FFFFFF,2
医療法人社団彩明会　大宮居宅介護支援事業所,さいたま市北区植竹町1丁目755番地2 TKﾋﾞﾙ2階,35.929245,139.620514,medium,#000088,#FFFFFF,2
医療法人ヘブロン会　大宮中央総合病院,さいたま市北区東大成町1-227,35.920685,139.620941,medium,#000088,#FFFFFF,2
介護プラン　すずのき大宮,さいたま市北区東大成町2丁目255番地,35.92646,139.620789,medium,#000088,#FFFFFF,2
ラウンド＆ケア居宅介護支援事業所中央,さいたま市北区東大成町2-85 岸ﾋﾞﾙ101,35.925377,139.621964,medium,#000088,#FFFFFF,2
サライケアステーション,さいたま市北区大成町4丁目231番地4,35.920078,139.612686,medium,#000088,#FFFFFF,2
リルセーヌ大宮居宅介護支援事業所,さいたま市北区大成町4丁目416番地1 ﾃﾞｭｵｾｰﾇ大宮1階,35.923847,139.613647,medium,#000088,#FFFFFF,2
指定居宅介護支援事業所　みやびの里,さいたま市北区別所町920,35.957737,139.590927,medium,#000088,#FFFFFF,2
ゆめの園奈良居宅介護支援センター,さいたま市北区奈良町54-1 SGKﾏﾝｼｮﾝﾊﾟﾋﾟｵｰﾙ1階,35.940899,139.603348,medium,#000088,#FFFFFF,2
居宅介護支援センター　ハートランド大宮,さいたま市北区奈良町120-2,35.951408,139.597733,medium,#000088,#FFFFFF,2
エスケアステーションさいたま北　居宅介護支援,さいたま市北区奈良町33-31 ﾋﾟｭｱﾚｼﾞﾃﾞﾝｽ103号室,35.947079,139.604126,medium,#000088,#FFFFFF,2
奈良町居宅介護支援事業所,さいたま市北区奈良町166-1 203,35.952663,139.594498,medium,#000088,#FFFFFF,2
さいたま市社協ケアプランおおみや,さいたま市北区日進町2-1864-10,35.932961,139.609833,medium,#000088,#FFFFFF,2
にっしんけあぷらん,さいたま市北区日進町1丁目600番地,35.92458,139.603088,medium,#000088,#FFFFFF,2
ケアプランひばり　日進,さいたま市北区日進町2丁目1086番地5 1F,35.930237,139.605545,medium,#000088,#FFFFFF,2
ケアプランひすいの華,さいたま市北区日進町3丁目759番地 ｱﾐﾃｨｴ･平栗102号,35.940788,139.606888,medium,#000088,#FFFFFF,2
ふくしのまち大宮,さいたま市北区櫛引町2-271-1 川善ﾋﾞﾙ2-A,35.918896,139.610046,medium,#000088,#FFFFFF,2
コープみらい大宮介護センター,さいたま市北区櫛引町2-431-2 ﾐﾆｺｰﾌﾟ櫛引店2階,35.920387,139.605545,medium,#000088,#FFFFFF,2
