title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
居宅介護支援事業所　さいたま青木,さいたま市緑区道祖土2-12-10 ｻﾝﾊｲﾂｻｲﾄﾞ202,35.879974,139.671631,middle,#008800,#FFFFFF,2
夢たまケアプラン,さいたま市緑区三室1290-3,35.880573,139.674683,middle,#008800,#FFFFFF,2
居宅介護支援センター　ドリームパレット,さいたま市緑区三室213番地7,35.888737,139.668015,middle,#008800,#FFFFFF,2
コープみらい浦和東介護センター,さいたま市緑区三室1342-4 斉藤ﾏﾝｼｮﾝ2階,35.881149,139.676285,middle,#008800,#FFFFFF,2
新しい介護を創造する　ユニバーサルケア悠々,さいたま市緑区三室1354番地1,35.881931,139.675018,middle,#008800,#FFFFFF,2
グリーンヒルうらわ在宅介護支援センター,さいたま市緑区馬場1丁目7番地1,35.890755,139.680878,middle,#008800,#FFFFFF,2
れんけい訪問看護ステーション,さいたま市緑区松木3-16-6 2F,35.883976,139.688156,middle,#008800,#FFFFFF,2
リバティハウス在宅介護支援センター,さいたま市緑区松木3-29-5,35.883709,139.690369,middle,#008800,#FFFFFF,2
居宅介護支援事業所あさがお東浦和,さいたま市緑区大間木550-1,35.873543,139.698776,middle,#008800,#FFFFFF,2
介護の相談所はな,さいたま市緑区下山口新田11-2,35.86256,139.717163,middle,#008800,#FFFFFF,2
つつみ居宅介護支援事業所,さいたま市緑区東浦和7-13-5,35.870892,139.702759,middle,#008800,#FFFFFF,2
未来介護サービス,さいたま市緑区東浦和2-74-1 ﾎﾞﾝﾒｿﾞﾝ103,35.863087,139.696732,middle,#008800,#FFFFFF,2
なごやかケアプラン東浦和,さいたま市緑区東浦和4丁目26番地9,35.868916,139.700409,middle,#008800,#FFFFFF,2
指定居宅介護支援事業所「尚和園在宅介護支援センター」,さいたま市緑区原山3-15-31,35.872219,139.675842,middle,#008800,#FFFFFF,2
あんしん介護ステーション浦和居宅介護支援センター,さいたま市緑区原山1-28-22,35.86599,139.673706,middle,#008800,#FFFFFF,2
浦和しぶや苑,さいたま市緑区中尾925番地,35.874798,139.681396,middle,#008800,#FFFFFF,2
デイサービスセンター　つくしんぼ浦和,さいたま市緑区中尾3175,35.865845,139.691238,middle,#008800,#FFFFFF,2
イリーゼ浦和大門居宅介護支援事業所,さいたま市緑区大字大門808,35.879124,139.737854,middle,#008800,#FFFFFF,2
エスポワールさいたま　居宅介護支援事業所,さいたま市緑区大字大門1548-7,35.88192,139.728287,middle,#008800,#FFFFFF,2
居宅介護支援レジデンス浦和美園,さいたま市緑区美園五丁目43番地10,35.894043,139.732544,middle,#008800,#FFFFFF,2
居宅介護支援事業所　シーパス,さいたま市緑区大字中野田1251番地2 ﾜｰｸｵﾌｨｽ中野田206,35.898277,139.718323,middle,#008800,#FFFFFF,2
スマイルハウス居宅介護支援センター,さいたま市緑区大崎2160,35.888588,139.705795,middle,#008800,#FFFFFF,2
居宅介護支援事業所　あさがお,さいたま市緑区大崎3385番地1,35.887218,139.715668,middle,#008800,#FFFFFF,2
白寿園老人介護支援センター,さいたま市緑区寺山157,35.904835,139.710831,middle,#008800,#FFFFFF,2
デイサービスセンターつくしんぼ浦和,さいたま市緑区中尾3715,35.876015,139.678696,middle,#008800,#FFFFFF,2
