title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
ケアワークわかくさ,さいたま市南区太田窪1977-1,35.852314,139.681427,middle,#FF00FF,#FFFFFF,2
居宅介護支援事業所埼玉さくらんぼⅠ番館,さいたま市南区大字太田窪3504-3,35.849159,139.693222,middle,#FF00FF,#FFFFFF,2
居宅介護支援事業所　くるり,さいたま市南区太田窪5丁目24番11号 ｺｰﾎﾟしみず102,35.853657,139.679291,middle,#FF00FF,#FFFFFF,2
あさひ,さいたま市南区大谷場1-17-5,35.855499,139.67012,middle,#FF00FF,#FFFFFF,2
アスモ介護サービス埼玉,さいたま市南区南浦和2-33-13 ｴﾊﾞﾀﾋﾞﾙ202号室,35.849113,139.671921,middle,#FF00FF,#FFFFFF,2
東京海上日動みずたまST南浦和ケアプランセンター,さいたま市南区南浦和2-36-11 ｶﾄﾚﾔﾋﾞﾙ2階,35.848007,139.670013,middle,#FF00FF,#FFFFFF,2
ケア２１　浦和,さいたま市南区南浦和3-35-22 ヴｨﾗ明和 103号室,35.84573,139.67337,middle,#FF00FF,#FFFFFF,2
医療法人明医研ケアメイト訪問看護ステーション,さいたま市南区別所6-18-8,35.848248,139.642654,middle,#FF00FF,#FFFFFF,2
株式会社　ステラ,さいたま市南区別所3丁目1番3号 小川ﾋﾞﾙ2-B,35.855572,139.647232,middle,#FF00FF,#FFFFFF,2
ケアサービス奏,さいたま市南区別所1-11-2,35.852932,139.648285,middle,#FF00FF,#FFFFFF,2
居宅介護支援事業所　ソラスト武蔵浦和,さいたま市南区白幡4-19-1 第二春日ﾋﾞﾙ1階,35.841427,139.652206,middle,#FF00FF,#FFFFFF,2
コープみらい　さいたま介護センター,さいたま市南区根岸2-15-2 2階,35.841976,139.665344,middle,#FF00FF,#FFFFFF,2
マエノ薬局　,さいたま市南区根岸5-13-14,35.844391,139.655914,middle,#FF00FF,#FFFFFF,2
愛ケア　浦和居宅介護支援事業所,さいたま市南区根岸1丁目3番9号 ﾂﾈﾋﾞﾙ502号室,35.844128,139.664764,middle,#FF00FF,#FFFFFF,2
有限会社　ライフサポートさいたま,さいたま市南区文蔵3丁目23番地5号,35.839493,139.673813,middle,#FF00FF,#FFFFFF,2
厚生福祉自動車有限会社　ハロー介護,さいたま市南区文蔵3-27-5,35.837395,139.673615,middle,#FF00FF,#FFFFFF,2
ケアサービス　きりん,さいたま市南区文蔵4-5-6,35.840454,139.66925,middle,#FF00FF,#FFFFFF,2
ファインケア浦和,さいたま市南区文蔵2-2-1,35.844315,139.669693,middle,#FF00FF,#FFFFFF,2
ケアマネ事業所ひなた,さいたま市南区文蔵3丁目18番3号 212,35.841805,139.673874,middle,#FF00FF,#FFFFFF,2
スマイル　ファクトリー,さいたま市南区文蔵1丁目20番12号,35.842201,139.671097,middle,#FF00FF,#FFFFFF,2
ねこさんプランニング,さいたま市南区文蔵5丁目18番2号 302 ﾊﾞﾁｭﾗｰ浦和,35.834293,139.674957,middle,#FF00FF,#FFFFFF,2
居宅介護支援事業所　エールサービス,さいたま市南区辻4-7-4 秋本ﾋﾞﾙ2F,35.836346,139.658096,middle,#FF00FF,#FFFFFF,2
居宅介護支援事業所あすなろホーム,さいたま市南区辻7-13-15,35.832794,139.665222,middle,#FF00FF,#FFFFFF,2
エム・ケア・マネジメント,さいたま市南区辻4-19-19,35.835022,139.655334,middle,#FF00FF,#FFFFFF,2
どりーむ居宅介護支援事業所,さいたま市南区辻3丁目4番1号 1F,35.839802,139.657745,middle,#FF00FF,#FFFFFF,2
ベネッセ介護センターさいたま,さいたま市南区沼影1丁目29番6号 ﾀﾞｲﾔｺｰﾎﾟ103号,35.842197,139.641495,middle,#FF00FF,#FFFFFF,2
さいたま市在宅介護支援センター ハートランド武蔵浦和,さいたま市南区別所3丁目16番11号 埼玉ﾋﾞﾙ503,35.854824,139.645615,middle,#FF00FF,#FFFFFF,2
居宅介護支援事業所　けやきホームズ,さいたま市南区鹿手袋7-13-4,35.84697,139.635544,middle,#FF00FF,#FFFFFF,2
ケアプランセンターつむぎ,さいたま市南区鹿手袋4-26-29 ﾀﾞｲﾔﾓﾝﾄﾞﾊｲﾂ103,35.84726,139.638321,middle,#FF00FF,#FFFFFF,2
居宅介護支援事業所　あさひケアサービス,さいたま市南区鹿手袋6丁目7番19号 2F,35.845573,139.637558,middle,#FF00FF,#FFFFFF,2
ケアプランひばり浦和,さいたま市南区鹿手袋3丁目15番13号,35.849541,139.641983,middle,#FF00FF,#FFFFFF,2
