title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
在宅介護支援センターさくら,さいたま市見沼区丸ｹ崎1220,35.957409,139.653427,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　ハートランド東大宮,さいたま市見沼区春野2-9-22,35.95734,139.659836,middle,#00FFFF,#FFFFFF,2
あしすとケアプラン,さいたま市見沼区深作1-19-1,35.949055,139.666016,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　さいたまやすらぎの里,さいたま市見沼区卸町2-21-1,35.951843,139.677505,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　青い鳥,さいたま市見沼区小深作493 ｼﾝﾌｫﾆｰⅡ B-1号室,35.943459,139.666306,middle,#00FFFF,#FFFFFF,2
夢工房結愛の森,さいたま市見沼区島町937,35.944263,139.65712,middle,#00FFFF,#FFFFFF,2
ケアプラン　もみじ,さいたま市見沼区島町435番地1 ﾌﾟﾘﾑﾗﾊｳｽ106,35.947117,139.648636,middle,#00FFFF,#FFFFFF,2
指定居宅介護支援事業所　ふくねこ,さいたま市見沼区丸ｹ崎町48-1,35.958813,139.64949,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所ＰＰＫ,さいたま市見沼区丸ｹ崎町52-20,35.958801,139.650787,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所あさがお七里,さいたま市見沼区春岡1丁目23番地5号,35.943665,139.663162,middle,#00FFFF,#FFFFFF,2
なごみ,さいたま市見沼区大谷14-1,35.919926,139.665817,middle,#00FFFF,#FFFFFF,2
敬寿園七里ホーム居宅介護支援センター,さいたま市見沼区大谷2022-1,35.921688,139.67395,middle,#00FFFF,#FFFFFF,2
あったか　プラン,さいたま市見沼区蓮沼1675-9,35.923248,139.666183,middle,#00FFFF,#FFFFFF,2
ケアプランひばり　見沼,さいたま市見沼区蓮沼1450,35.926701,139.664703,middle,#00FFFF,#FFFFFF,2
マスヤ介護サービス,さいたま市見沼区東門前65-2-101,35.934048,139.663879,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　ソラスト七里,さいたま市見沼区東門前351-4,35.931705,139.672241,middle,#00FFFF,#FFFFFF,2
ハートケア東大宮,さいたま市見沼区風渡野45,35.936069,139.669113,middle,#00FFFF,#FFFFFF,2
七里ホームひざこ居宅介護支援センター,さいたま市見沼区膝子785-4,35.923454,139.681961,middle,#00FFFF,#FFFFFF,2
敬寿園　居宅介護支援センター,さいたま市見沼区片柳1298,35.904747,139.691849,middle,#00FFFF,#FFFFFF,2
大宮共立病院居宅介護支援センター,さいたま市見沼区片柳1550,35.904335,139.690903,middle,#00FFFF,#FFFFFF,2
大宮ナーシング・ピア居宅支援事業所,さいたま市見沼区片柳1550,35.904335,139.690903,middle,#00FFFF,#FFFFFF,2
高齢者ケアセンターのぞみ　居宅介護支援事業所,さいたま市見沼区片柳1387-1,35.903305,139.689819,middle,#00FFFF,#FFFFFF,2
あすか　居宅介護支援センター,さいたま市見沼区染谷3-430-1,35.908001,139.686203,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　さいたまかがやきの里,さいたま市見沼区染谷3-190-1,35.909344,139.6828,middle,#00FFFF,#FFFFFF,2
ケアサポートサロンみぬま居宅介護支援事業所,さいたま市見沼区御蔵499-1,35.908333,139.675278,middle,#00FFFF,#FFFFFF,2
大宮見沼ケアセンターそよ風,さいたま市見沼区南中丸318-1,35.918041,139.653198,middle,#00FFFF,#FFFFFF,2
ハピネスケア株式会社　みぬま　居宅介護支援事業所,さいたま市見沼区南中野57番地,35.904484,139.659271,middle,#00FFFF,#FFFFFF,2
諏訪の苑,さいたま市見沼区南中野29,35.904549,139.660416,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　雫,さいたま市見沼区南中野59-3,35.904644,139.658401,middle,#00FFFF,#FFFFFF,2
指定居宅介護支援事業所　東大宮訪問看護ステーション,さいたま市見沼区東大宮5丁目8番地3 ｻｰﾊﾟｽ東大宮102号室,35.945942,139.64035,middle,#00FFFF,#FFFFFF,2
ハートの森　居宅介護支援事業所,さいたま市見沼区東大宮2-41-3,35.948456,139.634109,middle,#00FFFF,#FFFFFF,2
あいりす介護支援センター,さいたま市見沼区東大宮6-158-21,35.947735,139.645874,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所ボヌール,さいたま市見沼区東大宮三丁目1番65号 小林ﾋﾞﾙ1階101号,35.952969,139.633301,middle,#00FFFF,#FFFFFF,2
やさしい手東大宮居宅介護支援事業所,さいたま市見沼区東大宮2丁目6番2 D-ﾌｪｽﾀ東大宮,35.943176,139.637405,middle,#00FFFF,#FFFFFF,2
ケアプラン　かりん,さいたま市見沼区東大宮1丁目10番地3,35.943348,139.639343,middle,#00FFFF,#FFFFFF,2
あしすとケアプラン東大宮,さいたま市見沼区東大宮5丁目33番地12 5階,35.947334,139.644302,middle,#00FFFF,#FFFFFF,2
医心館　居宅介護支援事業所　東大宮,さいたま市見沼区東大宮5丁目27番地3,35.947021,139.643082,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　ネオタイプ,さいたま市見沼区東大宮5丁目48番地13,35.950565,139.641663,middle,#00FFFF,#FFFFFF,2
チーミング福祉サービス,さいたま市見沼区堀崎町506番地12,35.938431,139.654404,middle,#00FFFF,#FFFFFF,2
居宅介護支援事業所　ゆずは,さいたま市見沼区堀崎町1623,35.940655,139.649551,middle,#00FFFF,#FFFFFF,2
