title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
ケア大宮花の丘居宅介護支援センター,さいたま市西区内野本郷975-5,35.938267,139.590607,middle,#FFFF00,#FFFFFF,2
華齢なるケアマネたち,さいたま市西区大字内野本郷693番地46,35.937901,139.594086,middle,#FFFF00,#FFFFFF,2
居宅介護支援事業所　あさがお　清河寺,さいたま市西区大字内野本郷1004 ﾓﾙｹﾞﾝﾊｲﾑ103号室,35.93581,139.588913,middle,#FFFF00,#FFFFFF,2
リハ倶楽部　さくら,さいたま市西区宮前町192-1,35.922966,139.591354,middle,#FFFF00,#FFFFFF,2
愛の家居宅介護支援センター大宮指扇,さいたま市西区指扇566-1,35.907772,139.584076,middle,#FFFF00,#FFFFFF,2
医療生協おおみやケアセンター,さいたま市西区指扇1070,35.912121,139.578415,middle,#FFFF00,#FFFFFF,2
居宅介護支援事業所　緑水苑指扇,さいたま市西区指扇1570-2,35.916065,139.58168,middle,#FFFF00,#FFFFFF,2
ケアプラン西大宮　萌,さいたま市西区指扇757番地1,35.910721,139.57637,middle,#FFFF00,#FFFFFF,2
大宮・あおいホームケアサービス,さいたま市西区清河寺685-1,35.933708,139.582596,middle,#FFFF00,#FFFFFF,2
楽しいわが家　居宅介護支援事業所,さいたま市西区三橋6-21-2,35.910812,139.589386,middle,#FFFF00,#FFFFFF,2
わんわん介護,さいたま市西区三橋5-600-1,35.910999,139.593109,middle,#FFFF00,#FFFFFF,2
中野林ゆめの園　在宅介護支援センター,さいたま市西区中野林字中郷650番の1,35.892521,139.588013,middle,#FFFF00,#FFFFFF,2
くるみ,さいたま市西区西遊馬1259-2,35.914299,139.563797,middle,#FFFF00,#FFFFFF,2
高齢者ケアセンターゆらぎ居宅介護支援センター,さいたま市西区大字西遊馬1556番地1,35.911991,139.56398,middle,#FFFF00,#FFFFFF,2
プライエボーリくるみ,さいたま市西区西遊馬367-5 ﾌﾟﾗｲｴﾎﾞｰﾘ湯澤1階,35.904766,139.574951,middle,#FFFF00,#FFFFFF,2
介護相談センター　琉聖,さいたま市西区土屋1734番地1 上新田ｱﾊﾟｰﾄ 201号,35.910999,139.570236,middle,#FFFF00,#FFFFFF,2
居宅介護支援事業所　遊美園,さいたま市西区佐知川1522-1,35.904881,139.576447,middle,#FFFF00,#FFFFFF,2
ケアオフィスわきた,さいたま市西区佐知川1112-2 ﾊｲｼﾏｺｰﾎﾟﾗｽ202,35.901081,139.583817,middle,#FFFF00,#FFFFFF,2
いきサポ相談事務所,さいたま市西区二ﾂ宮697-1,35.900509,139.575882,middle,#FFFF00,#FFFFFF,2
ケアプランサービス　茉莉花馬宮,さいたま市西区大字二ﾂ宮280番地34,35.893692,139.582047,middle,#FFFF00,#FFFFFF,2
居宅介護支援事業所春陽苑,さいたま市西区飯田新田91-1,35.888718,139.559067,middle,#FFFF00,#FFFFFF,2
三恵苑在宅介護支援センター,さいたま市西区高木892,35.932018,139.572906,middle,#FFFF00,#FFFFFF,2
ケアプランセンター　扇の森,さいたま市西区高木602番1,35.926842,139.567307,middle,#FFFF00,#FFFFFF,2
敬寿園宝来ホーム居宅介護支援センター,さいたま市西区宝来86-1,35.931786,139.554352,middle,#FFFF00,#FFFFFF,2
居宅介護支援事業所トワーム指扇,さいたま市西区宝来字町田591,35.925785,139.556,middle,#FFFF00,#FFFFFF,2
居宅介護支援事業所　指扇北,さいたま市西区宝来776番地1,35.92358,139.558609,middle,#FFFF00,#FFFFFF,2
ケアプラン　たまき,さいたま市西区西大宮一丁目47番地7,35.923225,139.572296,middle,#FFFF00,#FFFFFF,2
西大宮訪問看護ステーション,さいたま市西区西大宮3-3,35.925266,139.580399,middle,#FFFF00,#FFFFFF,2
