title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
ミッドフィールド　居宅介護支援事業所,さいたま市大宮区宮町4-84,35.911762,139.625137,middle,#FFA500,#FFFFFF,2
指定居宅介護支援事業所 双愛,さいたま市大宮区堀の内町2-238-2,35.912067,139.635559,middle,#FFA500,#FFFFFF,2
ファンティック介護保険相談事業所,さいたま市大宮区堀の内町1-475-3 ｺｰﾎﾟ93-201,35.912212,139.639481,middle,#FFA500,#FFFFFF,2
社会福祉法人　育成会　白菊苑,さいたま市大宮区天沼町1-150-1,35.905884,139.639709,middle,#FFA500,#FFFFFF,2
ケアサポートおおみや居宅介護支援事業所,さいたま市大宮区天沼町1-250-1,35.904758,139.636581,middle,#FFA500,#FFFFFF,2
居宅介護支援事業所　ひなたぼっこ,さいたま市大宮区東町2-251,35.910095,139.633636,middle,#FFA500,#FFFFFF,2
ＳＯＭＰＯケア　さいたま大宮東　居宅介護支援,さいたま市大宮区東町1丁目198番地 ｻｲﾄｳﾋﾞﾙ102,35.906319,139.634567,middle,#FFA500,#FFFFFF,2
ソーシャルサポート　それいゆ,さいたま市大宮区浅間町2-4-1 ｴｸｼｰﾄﾞ大宮 301号室,35.902725,139.631393,middle,#FFA500,#FFFFFF,2
ケアプランひさご,さいたま市大宮区浅間町1丁目172番地2,35.905273,139.635315,middle,#FFA500,#FFFFFF,2
テルウェル東日本　さいたま介護センタ,さいたま市大宮区吉敷町1-133-1 ﾜﾝﾗｲﾄﾋﾞﾙ2階,35.901245,139.630844,middle,#FFA500,#FFFFFF,2
けあさぽーと　かず,さいたま市大宮区下町2丁目76番地 伸和ﾏﾝｼｮﾝ302号,35.902885,139.628616,middle,#FFA500,#FFFFFF,2
愛希　居宅介護支援事業所大宮,さいたま市大宮区櫛引町1-824-1,35.915382,139.608902,middle,#FFA500,#FFFFFF,2
居宅介護支援事業所春陽苑　桜木支所,さいたま市大宮区大成町2-397-3,35.911831,139.612808,middle,#FFA500,#FFFFFF,2
けあビジョン大宮,さいたま市大宮区大成町3-455-102,35.916283,139.614426,middle,#FFA500,#FFFFFF,2
ケアプラン敬,さいたま市大宮区大成町1丁目457番地3,35.908901,139.612946,middle,#FFA500,#FFFFFF,2
はなあかり訪問看護リハビリステーション大宮大成,さいたま市大宮区大成町1丁目481番地 浅見ﾋﾞﾙ201号室,35.910141,139.612625,middle,#FFA500,#FFFFFF,2
介護サービスセンター ハイム,さいたま市大宮区桜木町4-760,35.900726,139.616806,middle,#FFA500,#FFFFFF,2
居宅介護支援事業所「さくら」,さいたま市大宮区桜木町4-627-2 伊田ｸﾞﾙｰﾌﾟﾋﾞﾙ2階,35.898895,139.619324,middle,#FFA500,#FFFFFF,2
愛ステップ大宮,さいたま市大宮区桜木町4-708 渋谷ﾋﾞﾙ2階,35.900421,139.618591,middle,#FFA500,#FFFFFF,2
ＳＯＭＰＯケア　さいたま大宮西　居宅介護支援,さいたま市大宮区桜木町4-702-1 秀宝ﾋﾞﾙ4階,35.900421,139.618591,middle,#FFA500,#FFFFFF,2
居宅介護支援事業所　はるぱてお,さいたま市大宮区上小町1184番地,35.897144,139.613419,middle,#FFA500,#FFFFFF,2
やさしい手上小町居宅介護支援事業所,さいたま市大宮区上小町1481番地1,35.895058,139.614975,middle,#FFA500,#FFFFFF,2
三橋ケアセンターそよ風,さいたま市大宮区三橋1-871,35.914486,139.598297,middle,#FFA500,#FFFFFF,2
医療法人　明浩会　西大宮病院介護支援事業所,さいたま市大宮区三橋1丁目1173番地,35.906647,139.599319,middle,#FFA500,#FFFFFF,2
居宅介護支援事業所しあわせ三橋,さいたま市大宮区三橋1-564,35.909695,139.604019,middle,#FFA500,#FFFFFF,2
大宮諏訪の苑　居宅介護支援事業所,さいたま市大宮区三橋4丁目875-2,35.891006,139.604309,middle,#FFA500,#FFFFFF,2
亀春居宅介護支援事業所,さいたま市大宮区三橋4-333-1,35.895184,139.603882,middle,#FFA500,#FFFFFF,2
大宮三橋ケアセンターそよ風,さいたま市大宮区三橋1丁目345番地1,35.914272,139.602036,middle,#FFA500,#FFFFFF,2
