title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
まごころ浦和元町,さいたま市浦和区元町3-32-23,35.874083,139.655129,large,#00FF00,#FFFFFF,2
ハーモニークリニック,埼玉県さいたま市緑区松木3ｰ16-6,35.883976,139.688156,middle,#FF0000,#FFFFFF,2
みたにクリニック,埼玉県さいたま市大宮区土手町2-1-3　カオルビル1F,35.913795,139.625443,middle,#FF0000,#FFFFFF,2
みやぎクリニック,埼玉県さいたま市岩槻区美園東3−7−37,35.905025,139.727219,middle,#FF0000,#FFFFFF,2
彩の国みなみのクリニック,埼玉県さいたま市南区南浦和2-27-12　アビアント3F,35.849072,139.67067,middle,#FF0000,#FFFFFF,2
東西医学ビルクリニック,埼玉県さいたま市中央区上落合8-2-12　さいたま新都心ビル3階,35.899567,139.623886,middle,#FF0000,#FFFFFF,2
児玉クリニック,埼玉県さいたま市大宮区仲町2-23-3　大宮仲町センタービル1F,35.905598,139.627747,middle,#FF0000,#FFFFFF,2
南浦和駅前 町田クリニック,埼玉県さいたま市南区南本町2-1-2　プラザマツヤビル3F,35.847637,139.668152,middle,#FF0000,#FFFFFF,2
医療法人 わかば医院,埼玉県さいたま市浦和区上木崎4丁目11-20,35.885307,139.647812,middle,#FF0000,#FFFFFF,2
西大宮病院,埼玉県さいたま市大宮区三橋1ｰ1173,35.906647,139.599319,middle,#FF0000,#FFFFFF,2
新都心むさしのクリニック,埼玉県さいたま市大宮区北袋町2-389-1,35.891727,139.645813,middle,#FF0000,#FFFFFF,2
たや脳神経外科クリニック,埼玉県さいたま市緑区芝原2-2-6,35.880909,139.690994,middle,#FF0000,#FFFFFF,2
埼玉メディカルセンター,埼玉県さいたま市浦和区北浦和4丁目9-3,35.872547,139.643433,middle,#FF0000,#FFFFFF,2
本郷脳神経外科,埼玉県さいたま市北区本郷町1100-2,35.944363,139.624542,middle,#FF0000,#FFFFFF,2
彩の国東大宮メディカルセンター,埼玉県さいたま市北区土呂町1522,35.927402,139.638138,middle,#FF0000,#FFFFFF,2
自治医科大学附属さいたま医療センター,埼玉県さいたま市大宮区天沼町1-847,35.907181,139.645355,middle,#FF0000,#FFFFFF,2
とみた脳神経外科クリニック,埼玉県さいたま市緑区美園4-14-15,35.896858,139.728607,middle,#FF0000,#FFFFFF,2
野村クリニック,埼玉県さいたま市浦和区常盤2-9-12,35.864376,139.652237,middle,#FF0000,#FFFFFF,2
医療法人社団彩輝会 ねぎし内科・神経内科クリニック,埼玉県さいたま市中央区下落合2-19-16,35.883877,139.633209,middle,#FF0000,#FFFFFF,2
おちあい脳クリニック,埼玉県さいたま市桜区田島5-13-16,35.845036,139.628281,middle,#FF0000,#FFFFFF,2
医療法人社団水府会 かわかみ心療クリニック,埼玉県さいたま市中央区新都心4-8　ファーストビル3F,35.891712,139.630173,middle,#FF0000,#FFFFFF,2
渡辺メンタルクリニック,埼玉県さいたま市大宮区高鼻町1-31-1　TOPS大宮ビルディング6F,35.909988,139.62941,middle,#FF0000,#FFFFFF,2
秋葉病院,埼玉県さいたま市南区根岸5丁目13-10,35.844391,139.655914,middle,#FF0000,#FFFFFF,2
医療法人社団智生会 イサオクリニック,埼玉県さいたま市浦和区北浦和4丁目3-10 若松家ビル3F,35.871639,139.644226,middle,#FF0000,#FFFFFF,2
かせ心のクリニック,埼玉県さいたま市浦和区北浦和1-1-7　北原ビル2F、5F,35.872326,139.647614,middle,#FF0000,#FFFFFF,2
さいたま市民医療センター,埼玉県さいたま市西区島根299-1,35.881889,139.598175,middle,#FF0000,#FFFFFF,2
すなおクリニック,埼玉県さいたま市大宮区大門町2丁目94 福呂屋ビル4階,35.906654,139.627472,middle,#FF0000,#FFFFFF,2
心と体のクリニック,埼玉県さいたま市大宮区大門町2-108 永峰ビル4F,35.906654,139.627472,middle,#FF0000,#FFFFFF,2
丸山記念総合病院,埼玉県さいたま市岩槻区本町2ｰ10-5,35.945187,139.694946,middle,#FF0000,#FFFFFF,2
大宮共立病院,埼玉県さいたま市見沼区片柳1550,35.904335,139.690903,middle,#FF0000,#FFFFFF,2
さいたま市立病院,埼玉県さいたま市緑区三室2460,35.891266,139.678665,middle,#FF0000,#FFFFFF,2
ふせき心療クリニック,埼玉県さいたま市大宮区吉敷町4丁目262-10　松井ビル5階,35.895111,139.63324,middle,#FF0000,#FFFFFF,2
