title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
まごころ浦和元町,さいたま市浦和区元町3-32-23,35.874083,139.655129,large,#00FF00,#FFFFFF,2
西区北部圏域地域包括支援センター三恵苑,さいたま市西区中釘2162-4 星本ビル1階,35.939224,139.573181,medium,#FF0000,#FFFFFF,2
西区南部圏域地域包括支援センターくるみ,さいたま市西区西遊馬771-2,35.909153,139.568359,medium,#FF0000,#FFFFFF,2
北区北部圏域地域包括支援センター緑水苑,さいたま市北区吉野町1-27-13,35.950508,139.618896,medium,#FF0000,#FFFFFF,2
北区東部圏域地域包括支援センター諏訪の苑,さいたま市北区本郷町348-2,35.940861,139.628296,medium,#FF0000,#FFFFFF,2
北区西部圏域地域包括支援センターゆめの園,さいたま市北区日進町2-813,35.929775,139.607544,medium,#FF0000,#FFFFFF,2
大宮区東部圏域地域包括支援センター白菊苑,さいたま市大宮区天沼町1-154-1,35.906342,139.639008,medium,#FF0000,#FFFFFF,2
大宮区西部圏域地域包括支援センター春陽苑,さいたま市大宮区大成町2-397-3,35.911831,139.612808,medium,#FF0000,#FFFFFF,2
見沼区北部圏域地域包括支援センターさいたまやすらぎの里,さいたま市見沼区卸町2-21-1,35.951843,139.677505,medium,#FF0000,#FFFFFF,2
見沼区東部圏域地域包括支援センター敬寿園七里ホーム,さいたま市見沼区大谷2022-1,35.921688,139.67395,medium,#FF0000,#FFFFFF,2
見沼区西部圏域地域包括支援センター大和田,さいたま市見沼区大和田町2-1387-1,35.931557,139.652298,medium,#FF0000,#FFFFFF,2
見沼区南部圏域地域包括支援センター敬寿園,さいたま市見沼区南中野287 ソレイユ南中野101,35.908985,139.655624,medium,#FF0000,#FFFFFF,2
中央区北部圏域地域包括支援センターナーシングヴィラ与野,さいたま市中央区本町東6-10-1,35.893158,139.618057,medium,#FF0000,#FFFFFF,2
中央区南部圏域地域包括支援センターきりしき,さいたま市中央区新中里2-8-6,35.872154,139.633896,medium,#FF0000,#FFFFFF,2
桜区北部圏域地域包括支援センター彩寿苑,さいたま市桜区宿400,35.874466,139.593277,medium,#FF0000,#FFFFFF,2
桜区南部圏域地域包括支援センターザイタック,さいたま市桜区田島5-25-8,35.843761,139.628036,medium,#FF0000,#FFFFFF,2
浦和区北部圏域地域包括支援センターかさい医院,さいたま市浦和区針ヶ谷3-13-18,35.88319,139.643036,medium,#FF0000,#FFFFFF,2
浦和区東部圏域地域包括支援センタースマイルハウス浦和,さいたま市浦和区領家4-13-3,35.881809,139.654297,medium,#FF0000,#FFFFFF,2
浦和区中部圏域地域包括支援センタージェイコー埼玉,さいたま市浦和区北浦和5-2-7,35.873795,139.64299,medium,#FF0000,#FFFFFF,2
