title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
まごころ浦和元町,さいたま市浦和区元町3-32-23,35.874083,139.655129,large,#00FF00,#FFFFFF,2
ケアプランあいざわ居宅介護支援事業所,さいたま市浦和区木崎1丁目7番26号,35.885323,139.659546,medium,#FF0000,#FFFFFF,2
ケアプランオレンジ,さいたま市浦和区木崎4丁目1番15号,35.888317,139.658173,medium,#FF0000,#FFFFFF,2
ふくしのまち与野,さいたま市浦和区木崎4丁目17番1号 ﾊﾞﾛﾝｽﾞ202,35.88681,139.660767,medium,#FF0000,#FFFFFF,2
つばさ　ケアセンター,さいたま市浦和区大東2-24-16,35.880661,139.665314,medium,#FF0000,#FFFFFF,2
あけぼしケアプラン,さいたま市浦和区大東3-10-7,35.881973,139.664429,medium,#FF0000,#FFFFFF,2
ケアプラン　ひまわり,さいたま市浦和区瀬ｹ崎2丁目16番9号 笹屋ﾏﾝｼｮﾝ202号,35.878155,139.662201,medium,#FF0000,#FFFFFF,2
有限会社 ファーストケアまちや,さいたま市浦和区本太3-1-14,35.863419,139.654495,medium,#FF0000,#FFFFFF,2
癒しのケアプランセンター浦和,さいたま市浦和区本太3丁目24番6号,35.867298,139.655045,medium,#FF0000,#FFFFFF,2
本太ケアセンターそよ風,さいたま市浦和区本太1丁目14番6号,35.863098,139.664474,medium,#FF0000,#FFFFFF,2
東電さわやかケアうらわ・居宅介護支援,さいたま市浦和区前地3-14-12 第2ｽﾐﾀﾞﾋﾞﾙ3階,35.860584,139.665604,medium,#FF0000,#FFFFFF,2
ことぶきケアプランセンター,さいたま市浦和区東岸町3番11号 2階,35.856037,139.661407,medium,#FF0000,#FFFFFF,2
居宅介護支援事業所　ソラスト浦和,さいたま市浦和区東仲町15-8 ｸﾞﾘｰﾝｽｸｴｱ401号,35.860981,139.657776,medium,#FF0000,#FFFFFF,2
オリーブケア,さいたま市浦和区東仲町5-3 ｲｰｽﾄｻｲﾄﾞﾊﾟﾚｽT&T406,35.861675,139.656113,medium,#FF0000,#FFFFFF,2
浦和医師会指定居宅介護支援センター,さいたま市浦和区常盤6-4-18,35.861992,139.644196,medium,#FF0000,#FFFFFF,2
居宅介護ささえあい,さいたま市浦和区仲町3-2-1-101,35.860439,139.649963,medium,#FF0000,#FFFFFF,2
居宅介護支援事業所ケアビリティ,さいたま市浦和区仲町2丁目9番6号 加来ﾋﾞﾙ406,35.861118,139.65033,medium,#FF0000,#FFFFFF,2
居宅介護支援事業所ほほえみ,さいたま市浦和区高砂2-1-1明治安田生命浦和ﾋﾞﾙ4階,35.857132,139.654831,medium,#FF0000,#FFFFFF,2
アズミメディケアセンター浦和,さいたま市浦和区岸町7-1-4 荏原実業浦和ﾋﾞﾙ,35.855671,139.65416,medium,#FF0000,#FFFFFF,2
あいケアサポート浦和,さいたま市浦和区神明2丁目12番15号 ｵｰｸ南浦和103,35.848133,139.659119,medium,#FF0000,#FFFFFF,2
福祉ネットワークさくら,さいたま市浦和区上木崎6-9-3,35.883377,139.651886,medium,#FF0000,#FFFFFF,2
ニチイケアセンター上木崎,さいたま市浦和区上木崎3-1-10,35.887299,139.643692,medium,#FF0000,#FFFFFF,2
コープみらい浦和介護センター,さいたま市浦和区上木崎7-6-7 ｺｰﾌﾟ上木崎店内,35.888351,139.650711,medium,#FF0000,#FFFFFF,2
サポートセンター　麦,さいたま市浦和区上木崎7-13-26 ｺｰﾎﾟ道美木102,35.888992,139.651611,medium,#FF0000,#FFFFFF,2
ふわり総合福祉サービス,さいたま市浦和区領家5丁目11番17号 ｱｸﾃｨ北浦和101,35.880341,139.652924,medium,#FF0000,#FFFFFF,2
ほっとミルク北浦和　居宅介護支援,さいたま市浦和区領家3丁目19番7号,35.877708,139.657318,medium,#FF0000,#FFFFFF,2
独立行政法人地域医療機能推進機構埼玉メディカルセンター附属居宅介護支援センター,さいたま市浦和区北浦和5-2-7,35.873795,139.64299,medium,#FF0000,#FFFFFF,2
医療生協ケアステーションうらしん,さいたま市浦和区北浦和1-8-12 河野ﾋﾞﾙ4階,35.873184,139.647949,medium,#FF0000,#FFFFFF,2
アールスタッフ浦和ケアサービス,さいたま市浦和区北浦和1-6-15,35.87431,139.647339,medium,#FF0000,#FFFFFF,2
居宅支援センター　新都心,さいたま市浦和区針ｹ谷2-14-3,35.882622,139.643906,medium,#FF0000,#FFFFFF,2
ミッドフィールド　居宅介護支援事業所,さいたま市大宮区宮町4-84,35.911762,139.625137,medium,#FFA500,#FFFFFF,2
指定居宅介護支援事業所 双愛,さいたま市大宮区堀の内町2-238-2,35.912067,139.635559,medium,#FFA500,#FFFFFF,2
ファンティック介護保険相談事業所,さいたま市大宮区堀の内町1-475-3 ｺｰﾎﾟ93-201,35.912212,139.639481,medium,#FFA500,#FFFFFF,2
社会福祉法人　育成会　白菊苑,さいたま市大宮区天沼町1-150-1,35.905884,139.639709,medium,#FFA500,#FFFFFF,2
ケアサポートおおみや居宅介護支援事業所,さいたま市大宮区天沼町1-250-1,35.904758,139.636581,medium,#FFA500,#FFFFFF,2
居宅介護支援事業所　ひなたぼっこ,さいたま市大宮区東町2-251,35.910095,139.633636,medium,#FFA500,#FFFFFF,2
ＳＯＭＰＯケア　さいたま大宮東　居宅介護支援,さいたま市大宮区東町1丁目198番地 ｻｲﾄｳﾋﾞﾙ102,35.906319,139.634567,medium,#FFA500,#FFFFFF,2
ソーシャルサポート　それいゆ,さいたま市大宮区浅間町2-4-1 ｴｸｼｰﾄﾞ大宮 301号室,35.902725,139.631393,medium,#FFA500,#FFFFFF,2
ケアプランひさご,さいたま市大宮区浅間町1丁目172番地2,35.905273,139.635315,medium,#FFA500,#FFFFFF,2
テルウェル東日本　さいたま介護センタ,さいたま市大宮区吉敷町1-133-1 ﾜﾝﾗｲﾄﾋﾞﾙ2階,35.901245,139.630844,medium,#FFA500,#FFFFFF,2
けあさぽーと　かず,さいたま市大宮区下町2丁目76番地 伸和ﾏﾝｼｮﾝ302号,35.902885,139.628616,medium,#FFA500,#FFFFFF,2
愛希　居宅介護支援事業所大宮,さいたま市大宮区櫛引町1-824-1,35.915382,139.608902,medium,#FFA500,#FFFFFF,2
ケアプランひばり,さいたま市大宮区大成町3-362-1,35.917122,139.615295,medium,#FFA500,#FFFFFF,2
居宅介護支援事業所春陽苑　桜木支所,さいたま市大宮区大成町2-397-3,35.911831,139.612808,medium,#FFA500,#FFFFFF,2
けあビジョン大宮,さいたま市大宮区大成町3-455-102,35.916283,139.614426,medium,#FFA500,#FFFFFF,2
ケアプラン敬,さいたま市大宮区大成町1丁目457番地3,35.908901,139.612946,medium,#FFA500,#FFFFFF,2
はなあかり訪問看護リハビリステーション大宮大成,さいたま市大宮区大成町1丁目481番地 浅見ﾋﾞﾙ201号室,35.910141,139.612625,medium,#FFA500,#FFFFFF,2
ひかり居宅介護支援事業所,さいたま市大宮区大成町3丁目339番地2 光ﾋﾞﾙ4階,35.918301,139.615662,medium,#FFA500,#FFFFFF,2
介護サービスセンター ハイム,さいたま市大宮区桜木町4-760,35.900726,139.616806,medium,#FFA500,#FFFFFF,2
居宅介護支援事業所「さくら」,さいたま市大宮区桜木町4-627-2 伊田ｸﾞﾙｰﾌﾟﾋﾞﾙ2階,35.898895,139.619324,medium,#FFA500,#FFFFFF,2
愛ステップ大宮,さいたま市大宮区桜木町4-708 渋谷ﾋﾞﾙ2階,35.900421,139.618591,medium,#FFA500,#FFFFFF,2
ＳＯＭＰＯケア　さいたま大宮西　居宅介護支援,さいたま市大宮区桜木町4-702-1 秀宝ﾋﾞﾙ4階,35.900421,139.618591,medium,#FFA500,#FFFFFF,2
居宅介護支援事業所　はるぱてお,さいたま市大宮区上小町1184番地,35.897144,139.613419,medium,#FFA500,#FFFFFF,2
やさしい手上小町居宅介護支援事業所,さいたま市大宮区上小町1481番地1,35.895058,139.614975,medium,#FFA500,#FFFFFF,2
三橋ケアセンターそよ風,さいたま市大宮区三橋1-871,35.914486,139.598297,medium,#FFA500,#FFFFFF,2
医療法人　明浩会　西大宮病院介護支援事業所,さいたま市大宮区三橋1丁目1173番地,35.906647,139.599319,medium,#FFA500,#FFFFFF,2
居宅介護支援事業所しあわせ三橋,さいたま市大宮区三橋1-564,35.909695,139.604019,medium,#FFA500,#FFFFFF,2
大宮諏訪の苑　居宅介護支援事業所,さいたま市大宮区三橋4丁目875-2,35.891006,139.604309,medium,#FFA500,#FFFFFF,2
亀春居宅介護支援事業所,さいたま市大宮区三橋4-333-1,35.895184,139.603882,medium,#FFA500,#FFFFFF,2
大宮三橋ケアセンターそよ風,さいたま市大宮区三橋1丁目345番地1,35.914272,139.602036,medium,#FFA500,#FFFFFF,2
金子歯科診療所,さいたま市中央区上落合7ｰ6ｰ2ｶｰｴｽ･ﾌﾞﾙｸ301,35.898499,139.62471,medium,#00FF00,#FFFFFF,2
ニチイケアセンター与野,さいたま市中央区上落合5-4-7瀬山ﾋﾞﾙ1階2階,35.894325,139.627655,medium,#00FF00,#FFFFFF,2
みきケアサービス,さいたま市中央区上落合1-9 与野ﾊｳｽ1号棟1105,35.890213,139.629761,medium,#00FF00,#FFFFFF,2
東京海上日動みずたま介護ST大宮ケアプランセンター,さいたま市中央区上落合5-18-14 都ﾏﾝｼｮﾝ1階,35.89896,139.626328,medium,#00FF00,#FFFFFF,2
セコムさいたま訪問看護ステーション,さいたま市中央区下落合3-8-9 ｾｺﾑ与野ﾋﾞﾙ4階,35.885658,139.631546,medium,#00FF00,#FFFFFF,2
有限会社　大和・ハッピー・ケア・サービス,さいたま市中央区下落合4丁目23-17 埼京ﾋﾞﾙ2階,35.887451,139.629852,medium,#00FF00,#FFFFFF,2
ｏｎｅ’ｓかいご,さいたま市中央区下落合2-3-4 ﾘｾﾊｲﾂ101号室,35.881794,139.635208,medium,#00FF00,#FFFFFF,2
介護やトーワ居宅介護支援事業所,さいたま市中央区下落合4-17-18 ﾄﾞﾐｰﾙ吉田102,35.887146,139.62677,medium,#00FF00,#FFFFFF,2
ケアプランのぞみ,さいたま市中央区下落合7丁目8番22号 ﾒｿﾞﾝ･ｱｰﾍﾞｲﾝ103号,35.881207,139.628204,medium,#00FF00,#FFFFFF,2
居宅介護支援事業所　こころ,さいたま市中央区下落合3丁目7番1号 飯塚ﾋﾞﾙ 102,35.884567,139.631927,medium,#00FF00,#FFFFFF,2
アカンパニー,さいたま市中央区下落合7丁目6番10号 平成ﾛｲﾔﾙ103号室,35.880535,139.628067,medium,#00FF00,#FFFFFF,2
ナーシングヴィラ与野　指定居宅介護支援事業所,さいたま市中央区本町東6-10-1,35.893158,139.618057,medium,#00FF00,#FFFFFF,2
居宅介護支援事業所あさがお与野公園,さいたま市中央区本町東5-6-5,35.888176,139.621155,medium,#00FF00,#FFFFFF,2
与野 ケアセンターそよ風,さいたま市中央区桜丘1-11-11,35.879341,139.616058,medium,#00FF00,#FFFFFF,2
ひだまり介護支援センター,さいたま市中央区桜丘1-13-1,35.880226,139.616608,medium,#00FF00,#FFFFFF,2
指定居宅介護支援事業所 きりしき,さいたま市中央区新中里2-8-6,35.872154,139.633896,medium,#00FF00,#FFFFFF,2
与野訪問看護ステーション居宅,さいたま市中央区新中里3-3-8,35.875557,139.63591,medium,#00FF00,#FFFFFF,2
東電さわやかケアさくら・居宅介護支援,さいたま市中央区新中里1-5-37 ｻﾝﾊｯﾋﾟｰ101号,35.872063,139.637283,medium,#00FF00,#FFFFFF,2
アースサポート北浦和,さいたま市中央区新中里1-3-3,35.870922,139.637131,medium,#00FF00,#FFFFFF,2
ケアサポート　SAILING　LIFE,さいたま市中央区新中里5丁目20番9号 ｴｰﾃﾞﾙﾊｲﾂ102,35.88065,139.634842,medium,#00FF00,#FFFFFF,2
ポポケアセンター,さいたま市中央区大戸6-21-20,35.868027,139.63327,medium,#00FF00,#FFFFFF,2
居宅介護支援事業所　緑水苑与野,さいたま市中央区大戸1-33-12,35.861721,139.636734,medium,#00FF00,#FFFFFF,2
アートリティ居宅支援,さいたま市中央区大戸4丁目15番13号5号室,35.86758,139.641861,medium,#00FF00,#FFFFFF,2
居宅介護支援事業所　きりしきおおと,さいたま市中央区大戸5-3-24,35.866226,139.636978,medium,#00FF00,#FFFFFF,2
