title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
居宅介護支援事業所　かえで　桜区,さいたま市桜区白鍬758-1 ﾊﾟｽﾄﾗﾙNo.6 305,35.881569,139.603363,middle,#FFC0CB,#FFFFFF,2
学研ＦＳココファンさくらＣＣ,さいたま市桜区神田454-3,35.874027,139.605194,middle,#FFC0CB,#FFFFFF,2
居宅介護支援事業所　楽,さいたま市桜区神田236-1,35.873203,139.607147,middle,#FFC0CB,#FFFFFF,2
彩寿苑指定居宅介護支援センター,さいたま市桜区宿400,35.874466,139.593277,middle,#FFC0CB,#FFFFFF,2
指定居宅介護支援事業所　ファインハイム,さいたま市桜区宿372-1,35.876743,139.594818,middle,#FFC0CB,#FFFFFF,2
さいたまロイヤルの園居宅介護支援事業所,さいたま市桜区五関396番地2,35.866379,139.59584,middle,#FFC0CB,#FFFFFF,2
あずみ苑　五関,さいたま市桜区五関29番地1,35.872833,139.598709,middle,#FFC0CB,#FFFFFF,2
居宅介護支援事業所　ケアフル,さいたま市桜区五関463番地1,35.863209,139.597061,middle,#FFC0CB,#FFFFFF,2
医療法人聖仁会　在宅介護支援センター大久保,さいたま市桜区大字上大久保830番地1 西部在宅ｹｱｾﾝﾀｰ1F,35.871738,139.61499,middle,#FFC0CB,#FFFFFF,2
むさしのケア,さいたま市桜区上大久保893番地9-202,35.874027,139.614944,middle,#FFC0CB,#FFFFFF,2
ニチイケアセンター　浦和,さいたま市桜区下大久保186-7,35.863903,139.609818,middle,#FFC0CB,#FFFFFF,2
ぎま居宅介護支援事業所,さいたま市桜区下大久保1032番地4 ﾌｫｰﾗﾑﾊｲﾂ103,35.860954,139.601028,middle,#FFC0CB,#FFFFFF,2
特定非営利活動法人 さいたま自立支援センター,さいたま市桜区西堀5-2-10-504,35.854633,139.626541,middle,#FFC0CB,#FFFFFF,2
居宅介護支援事業所すずみな中浦和,さいたま市桜区西堀3丁目5番26号 ﾌﾟﾗﾝﾄﾞｰﾙ106号,35.853561,139.633774,middle,#FFC0CB,#FFFFFF,2
スター訪問看護ステーション,さいたま市桜区田島4-41-8,35.846813,139.626785,middle,#FFC0CB,#FFFFFF,2
ツクイさいたま西浦和,さいたま市桜区田島2-5-23,35.844692,139.633331,middle,#FFC0CB,#FFFFFF,2
愛希,さいたま市桜区田島4-38-3,35.848431,139.627228,middle,#FFC0CB,#FFFFFF,2
在宅介護支援センターすずのき,さいたま市桜区田島5-22-11-103,35.844437,139.628952,middle,#FFC0CB,#FFFFFF,2
居宅介護支援センター三愛,さいたま市桜区田島四丁目33番5号,35.849247,139.626968,middle,#FFC0CB,#FFFFFF,2
ネヲハル　ケアプランセンター,さいたま市桜区田島4丁目9番8号,35.849941,139.632355,middle,#FFC0CB,#FFFFFF,2
オーディナリーケア居宅介護支援事業所,さいたま市桜区田島3丁目18番3号 DIVINE西浦和 4-C,35.845291,139.630798,middle,#FFC0CB,#FFFFFF,2
