title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
まごころ浦和元町,さいたま市浦和区元町3-32-23,35.874083,139.655129,large,#00FF00,#FFFFFF,2
ケアプランあいざわ居宅介護支援事業所,さいたま市浦和区木崎1丁目7番26号,35.885323,139.659546,middle,#FF0000,#FFFFFF,2
ケアプランオレンジ,さいたま市浦和区木崎4丁目1番15号,35.888317,139.658173,middle,#FF0000,#FFFFFF,2
ふくしのまち与野,さいたま市浦和区木崎4丁目17番1号 ﾊﾞﾛﾝｽﾞ202,35.88681,139.660767,middle,#FF0000,#FFFFFF,2
つばさ　ケアセンター,さいたま市浦和区大東2-24-16,35.880661,139.665314,middle,#FF0000,#FFFFFF,2
あけぼしケアプラン,さいたま市浦和区大東3-10-7,35.881973,139.664429,middle,#FF0000,#FFFFFF,2
ケアプラン　ひまわり,さいたま市浦和区瀬ｹ崎2丁目16番9号 笹屋ﾏﾝｼｮﾝ202号,35.878155,139.662201,middle,#FF0000,#FFFFFF,2
有限会社 ファーストケアまちや,さいたま市浦和区本太3-1-14,35.863419,139.654495,middle,#FF0000,#FFFFFF,2
癒しのケアプランセンター浦和,さいたま市浦和区本太3丁目24番6号,35.867298,139.655045,middle,#FF0000,#FFFFFF,2
本太ケアセンターそよ風,さいたま市浦和区本太1丁目14番6号,35.863098,139.664474,middle,#FF0000,#FFFFFF,2
東電さわやかケアうらわ・居宅介護支援,さいたま市浦和区前地3-14-12 第2ｽﾐﾀﾞﾋﾞﾙ3階,35.860584,139.665604,middle,#FF0000,#FFFFFF,2
居宅介護支援事業所　ソラスト浦和,さいたま市浦和区東仲町15-8 ｸﾞﾘｰﾝｽｸｴｱ401号,35.860981,139.657776,middle,#FF0000,#FFFFFF,2
オリーブケア,さいたま市浦和区東仲町5-3 ｲｰｽﾄｻｲﾄﾞﾊﾟﾚｽT&T406,35.861675,139.656113,middle,#FF0000,#FFFFFF,2
浦和医師会指定居宅介護支援センター,さいたま市浦和区常盤6-4-18,35.861992,139.644196,middle,#FF0000,#FFFFFF,2
居宅介護ささえあい,さいたま市浦和区仲町3-2-1-101,35.860439,139.649963,middle,#FF0000,#FFFFFF,2
居宅介護支援事業所ケアビリティ,さいたま市浦和区仲町2丁目9番6号 加来ﾋﾞﾙ406,35.861118,139.65033,middle,#FF0000,#FFFFFF,2
居宅介護支援事業所ほほえみ,さいたま市浦和区高砂2-1-1明治安田生命浦和ﾋﾞﾙ4階,35.857132,139.654831,middle,#FF0000,#FFFFFF,2
アズミメディケアセンター浦和,さいたま市浦和区岸町7-1-4 荏原実業浦和ﾋﾞﾙ,35.855671,139.65416,middle,#FF0000,#FFFFFF,2
あいケアサポート浦和,さいたま市浦和区神明2丁目12番15号 ｵｰｸ南浦和103,35.848133,139.659119,middle,#FF0000,#FFFFFF,2
福祉ネットワークさくら,さいたま市浦和区上木崎6-9-3,35.883377,139.651886,middle,#FF0000,#FFFFFF,2
ニチイケアセンター上木崎,さいたま市浦和区上木崎3-1-10,35.887299,139.643692,middle,#FF0000,#FFFFFF,2
コープみらい浦和介護センター,さいたま市浦和区上木崎7-6-7 ｺｰﾌﾟ上木崎店内,35.888351,139.650711,middle,#FF0000,#FFFFFF,2
サポートセンター　麦,さいたま市浦和区上木崎7-13-26 ｺｰﾎﾟ道美木102,35.888992,139.651611,middle,#FF0000,#FFFFFF,2
ふわり総合福祉サービス,さいたま市浦和区領家5丁目11番17号 ｱｸﾃｨ北浦和101,35.880341,139.652924,middle,#FF0000,#FFFFFF,2
ほっとミルク北浦和　居宅介護支援,さいたま市浦和区領家3丁目19番7号,35.877708,139.657318,middle,#FF0000,#FFFFFF,2
独立行政法人地域医療機能推進機構埼玉メディカルセンター附属居宅介護支援センター,さいたま市浦和区北浦和5-2-7,35.873795,139.64299,middle,#FF0000,#FFFFFF,2
医療生協ケアステーションうらしん,さいたま市浦和区北浦和1-8-12 河野ﾋﾞﾙ4階,35.873184,139.647949,middle,#FF0000,#FFFFFF,2
アールスタッフ浦和ケアサービス,さいたま市浦和区北浦和1-6-15,35.87431,139.647339,middle,#FF0000,#FFFFFF,2
居宅支援センター　新都心,さいたま市浦和区針ｹ谷2-14-3,35.882622,139.643906,middle,#FF0000,#FFFFFF,2
居宅介護支援事業所風信子（ヒアシンス）,さいたま市浦和区岸町2-4-18,35.850883,139.659332,middle,#FF0000,#FFFFFF,2
サライケアステーション,さいたま市浦和区北浦和2-4-3　メゾンドグリュ桜305,35.878132,139.644775,middle,#FF0000,#FFFFFF,2
